UserId,ProductId,Rating,subCategory,articleType,baseColour,Timestamp,productDisplayName,
A39HTATAQ9V7YF,205616461,5,Topwear,Shirts,Navy Blue,1369699200,Turtle Check Men Navy Blue Shirt,
A3JM6GV9MNOF9X,558925278,3,Bottomwear,Jeans,Blue,1355443200,Peter England Men Party Blue Jeans,
A1Z513UWSAAO0F,558925278,5,Watches,Watches,Silver,1404691200,Titan Women Silver Watch,
A1WMRR494NWEWV,733001998,4,Bottomwear,Track Pants,Black,1382572800,Manchester United Men Solid Black Track Pants,
A3IAAVS479H7M7,737104473,1,Topwear,Tshirts,Grey,1274227200,Puma Men Grey T-shirt,
AKJHHD5VEH7VG,762451459,5,Topwear,Tshirts,Grey,1404518400,Inkfruit Mens Chain Reaction T-shirt,
A1BG8QW55XHN6U,1304139212,5,Topwear,Shirts,Green,1371945600,Fabindia Men Striped Green Shirt,
A22VW0P4VZHDE3,1304139220,5,Topwear,Shirts,Purple,1373068800,Jealous 21 Women Purple Shirt,
A3V3RE4132GKRO,130414089X,5,Socks,Socks,Navy Blue,1401840000,Puma Men Pack of 3 Socks,
A327B0I7CYTEJC,130414643X,4,Watches,Watches,Black,1389052800,Skagen Men Black Watch,
A1BG8QW55XHN6U,130414643X,5,Shoes,Casual Shoes,Black,1372032000,Puma Men Future Cat Remix SF Black Casual Shoes,
AIFAAVTUYHEHB,130414643X,4,Belts,Belts,Black,1378252800,Fossil Women Black Huarache Weave Belt,
AVOGV98AYOFG2,1304146537,5,Flip Flops,Flip Flops,Black,1372118400,Fila Men Cush Flex Black Slippers,
A22VW0P4VZHDE3,130414674X,5,Bags,Handbags,Blue,1371686400,Murcia Women Blue Handbag,
AVOGV98AYOFG2,1304168522,5,Flip Flops,Flip Flops,Navy Blue,1372118400,Ben 10 Boys Navy Blue Slippers,
A6R426V4J7AOM,1304168522,5,Topwear,Shirts,Purple,1373414400,Reid & Taylor Men Check Purple Shirts,
A22VW0P4VZHDE3,1304174778,5,Watches,Watches,Black,1372896000,Police Men Black Dial Watch PL12889JVSB,
AKGB62WGF35J8,1304174778,5,Topwear,Tops,White,1372896000,Gini and Jony Girls Knit White Top,
A22VW0P4VZHDE3,1304174867,5,Innerwear,Bra,Beige,1373068800,Bwitch Beige Full-Coverage Bra BW335,
A1BG8QW55XHN6U,1304174867,5,Bags,Handbags,Brown,1372291200,Baggit Women Brown Handbag,
A1BG8QW55XHN6U,1304174905,5,Watches,Watches,Black,1372291200,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,
A22VW0P4VZHDE3,1304196046,5,Sandal,Sandals,Black,1372896000,ADIDAS Men Spry M Black Sandals,
A22VW0P4VZHDE3,1304196062,5,Shoe Accessories,Shoe Accessories,Black,1372896000,Timberland Unisex Rubber Sole Brush Shoe Accessories,
A3A4C2K3TWDAO5,1304196070,1,Topwear,Sweatshirts,Grey,1378425600,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,
A3FV2Q7WPZMQPV,1304196135,5,Fragrance,Deodorant,White,1375488000,David Beckham Signature Men Deos,
A22VW0P4VZHDE3,1304196135,5,Shoes,Formal Shoes,Black,1372896000,Buckaroo Men Flores Black Formal Shoes,
A1RXI3A1E99112,1304351475,5,Jewellery,Bracelet,Bronze,1405296000,Pitaraa Women Bronze Beaded Bracelet,
A26QL1FBQO9C0E,1304351475,5,Topwear,Tshirts,Navy Blue,1392076800,Fila Men's Round Neck Navy Blue T-shirt,
A19KEEVZYO1KO6,1304351475,4,Lips,Lipstick,Brown,1388707200,Colorbar Soft Touch Show Stopper Copper Lipstick 037,
A1F6HRR58TQ2R0,1304351475,5,Bags,Handbags,Brown,1394928000,Murcia Women Casual Brown Handbag,
AVQP6PO1NK0IJ,1304351475,1,Topwear,Shirts,Navy Blue,1389657600,John Players Men Navy Blue Shirt,
A32IWHU4TUEQZR,1304351475,4,Topwear,Tshirts,Green,1383523200,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,
ASPJCWRXUOYYY,1304351475,5,Topwear,Shirts,Brown,1392681600,John Players Men Brown Shirt,
A1LAW520BT5AM0,1304351475,1,Shoes,Casual Shoes,White,1392422400,Gas Men Europa White Shoes,
A3SWQ2QQ7JBPFA,1304351475,5,Shoes,Flats,Black,1402790400,Carlton London Women Black & Gold Toned Flats,
A2D7CPCZH5VFVZ,1304351475,1,Topwear,Kurtas,Green,1396742400,Diva Women Embroided Green Kurta,
A274NIJWOQWE30,1304351475,5,Bags,Handbags,White,1385251200,Rocky S Women White Handbag,
A2OMU0R0VM5O9I,1304351475,1,Bags,Handbags,Teal,1397606400,Kiara Women Teal Handbag,
A2YFDS6DYGFLVQ,1304351475,5,Watches,Watches,Copper,1405036800,Fossil Women Copper Chronograph Watch CH2589,
AKA7T9TPISJ26,1304351475,1,Topwear,Tshirts,Pink,1399680000,Jealous 21 Women's Pink T-shirt,
AN33X95J5460X,1304351475,4,Belts,Belts,Black,1395187200,Peter England Men Formal Black Belt,
A2UEOW698J0SSR,1304351475,5,Shoes,Flats,Brown,1397779200,Catwalk Women Leather Brown Flats,
A22ZFXQE8AWPEP,1304482596,1,Watches,Watches,Off White,1383177600,Maxima Ssteele Men Off White Watch,
A6R426V4J7AOM,1304482596,5,Topwear,Kurtas,Beige,1384992000,W Women Printed Beige Kurta,
A9ZNJ2AXPO652,1304482634,2,Topwear,Waistcoat,Grey,1386028800,Scullers Men  Grey Waistcoat,
A169NC0ZW6XKRD,1304482685,3,Shoes,Sports Shoes,White,1391558400,Nike Men's Incinerate MSL White Blue Shoe,
AZWRTJPN7NXT,1304482685,5,Bottomwear,Shorts,Black,1383004800,Puma Men Long Logo Black Bermuda,
A22ZFXQE8AWPEP,1304482685,1,Innerwear,Briefs,Maroon,1383177600,Levis Men Boxer Maroon Brief,
AH344ZAN5GNOM,1304482685,5,Topwear,Shirts,Red,1391558400,John Miller Men Stripes White Red Shirts,
A1YQUT1H2ENJ8U,1304482685,4,Belts,Belts,Black,1383004800,Baggit Women Hood Dabang Black Belt,
A22VW0P4VZHDE3,1304482685,5,Watches,Watches,White,1384128000,Maxima Women White Dial Watch,
A6R426V4J7AOM,1304488608,5,Shoes,Formal Shoes,Black,1384732800,Clarks Men Hang Work Leather Black Formal Shoes,
A22ZFXQE8AWPEP,1304495396,1,Topwear,Kurtas,Brown,1384992000,Vishudh Women Brown Kurta,
A6R426V4J7AOM,1304495396,5,Innerwear,Briefs,Blue,1384992000,Playboy Men Blue Titanium Briefs,
A3C744AK5A6MMI,1304495396,5,Shoes,Formal Shoes,Black,1385856000,Arrow Men Black Formal Shoes,
A2H6SFTV2892Z8,1304511073,5,Topwear,Tshirts,Black,1384992000,Puma Men's Stripe Polo Black T-shirt,
A225CH9TTQPC4B,1304511073,1,Topwear,Tshirts,Purple,1393891200,Nike Women Purple Polo T-shirt,
A2F6NPTGDMFXN9,1304511073,1,Topwear,Shirts,White,1385596800,Gini and Jony Boy's Kaleb White Brown Kidswear,
A2H6SFTV2892Z8,1304511081,5,Watches,Watches,Silver,1384992000,Carrera Men Dial steel finish strap Silver Watches,
A1DC0DSF3H3BCW,1304511081,3,Topwear,Tshirts,Red,1391817600,Wrangler Men Motor Rider Red T-Shirts,
A3TR91FJ4MNFY9,1304511081,5,Saree,Sarees,Grey,1391558400,FNF Pink & Grey Wedding Collection Sari,
A22ZFXQE8AWPEP,1304511111,1,Topwear,Tshirts,Black,1384992000,Puma Men Scribble Black Tshirts,
A3IANSH41YHFP1,1304511111,5,Watches,Watches,Black,1389830400,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,
A2NRG4NQMLHDJQ,1304511111,1,Bags,Handbags,Beige,1385769600,French Connection Women Beige Handbag,
A6R426V4J7AOM,130451112X,5,Shoes,Casual Shoes,Black,1383868800,Timberland Men Black Casual Shoes,
A2H6SFTV2892Z8,1304511138,5,Shoes,Casual Shoes,Purple,1384992000,Vans Men Classic Slip-On Purple & Black Shoes,
A22ZFXQE8AWPEP,1304511138,1,Fragrance,Perfume and Body Mist,Pink,1384992000,Police Women Passion Perfume,
A32G79IU2NJ2HS,1304511138,1,Shoes,Sports Shoes,White,1388188800,ADIDAS Men's Lowell White Silver Shoe,
A2H6SFTV2892Z8,1304511146,5,Bottomwear,Shorts,Blue,1384992000,Do U Speak Green Men Blue Shorts,
A3L2VTHD6W1E2Z,1304511146,2,Shoes,Casual Shoes,Red,1386201600,ID Men Red Shoes,
A3L2VTHD6W1E2Z,1304511154,1,Bags,Handbags,Black,1386201600,Peperone Women Black & White Handbag,
A1BG8QW55XHN6U,1304511154,5,Shoes,Casual Shoes,Khaki,1384732800,Vans Men Khaki Shoes,
A2H6SFTV2892Z8,1304622193,5,Topwear,Shirts,Pink,1384992000,Indigo Nation Men Reversible Bling Pink Shirts,
A22VW0P4VZHDE3,1304622193,5,Topwear,Tshirts,Black,1385856000,Nike Women Black T-shirt,
A2H6SFTV2892Z8,1304622223,5,Topwear,Sweatshirts,Blue,1384992000,ADIDAS Men Blue Sweatshirt,
A6R426V4J7AOM,1304622428,5,Topwear,Tshirts,Red,1384992000,Manchester United Men Solid Red Tshirt,
A15THVWZS6GQZY,1304622428,5,Shoes,Heels,Black,1388102400,Rocia Women Black Flats,
A1BG8QW55XHN6U,1304622452,5,Shoes,Heels,Brown,1385424000,Catwalk Women Leather Flats,
A2H6SFTV2892Z8,1304622460,5,Topwear,Tops,Green,1384992000,Mineral Women Green Top,
A1VCW66KPTNUV8,1304622622,1,Sandal,Sandals,Pink,1385424000,Crocs Dora Boots Pink Sandals,
AO5JB67V93FBL,1304622622,5,Eyewear,Sunglasses,Black,1388620800,Image Men Sunglasses,
A1GWD6BDCLGC82,1304622622,1,Flip Flops,Flip Flops,Silver,1388016000,Lotto Men XL Water Man Silver Slippers,
AJ85OD05LNNUY,1304622657,2,Topwear,Tshirts,Pink,1404172800,United Colors of Benetton Men Solid Pink Polo T-shirts,
A1E5CS6UI1LWQF,1304622657,5,Innerwear,Innerwear Vests,Grey,1390608000,Levis Men Comfort Style Grey Innerwear Vest,
A1SWCNGOR3GMOQ,1304622657,5,Flip Flops,Flip Flops,Black,1393286400,Reebok Men Black Possession Flip Flops,
A1BG8QW55XHN6U,1304622657,5,Jewellery,Pendant,Silver,1385596800,Lucera Women Silver Pendant,
A22ZFXQE8AWPEP,1304622665,1,Watches,Watches,White,1386028800,Maxima Men White Dial Analog Chronograph Watch,
A22ZFXQE8AWPEP,1304624498,1,Nails,Nail Polish,Bronze,1385683200,Streetwear Ash Nail Polish # 31,
A2IOZRH02O4C9S,1304624498,1,Bags,Laptop Bag,Orange,1392076800,Peter England Unisex Orange Sleeve Bag,
A2H6SFTV2892Z8,1304624544,5,Shoes,Sports Shoes,White,1384992000,Puma Men Axis White & Grey Sports Shoes,
A1RGXKJ4RFIOCX,1304624544,1,Topwear,Tops,Off White,1394755200,Tonga Women Maroon Top,
A11OEJ4R1PDTLN,1304624544,1,Scarves,Scarves,Brown,1391385600,Femella Women Brown Scarf,
A22ZFXQE8AWPEP,1304651029,1,Topwear,Rain Jacket,Coffee Brown,1386028800,Just Natural Unisex Charcoal Rain Jacket,
A1BG8QW55XHN6U,1304651029,5,Topwear,Tshirts,Black,1385424000,ADIDAS Men's Twelve Faster T-shirt,
A1BG8QW55XHN6U,1304651088,5,Dress,Dresses,Blue,1385424000,Arrow Woman Women Blue Dress,
A1BG8QW55XHN6U,130465110X,5,Innerwear,Briefs,Red,1385424000,Levis Men Red Brief,
A1BG8QW55XHN6U,1304651118,5,Sandal,Sandals,Black,1385424000,Ganuchi Men Casual Black Sandals,
A6R426V4J7AOM,1304651347,5,Loungewear and Nightwear,Night suits,White,1385856000,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,
A1BG8QW55XHN6U,1304665704,5,Topwear,Tshirts,Black,1385596800,Indigo Nation Men Printed Black T-shirt,
AZ4FR14IPKML7,1304665720,5,Fragrance,Perfume and Body Mist,Red,1388966400,DKNY Women Red Delicious Perfume,
A251DS38L87XWF,1304665720,1,Bottomwear,Skirts,Blue,1391299200,Urban Yoga Women Blue Skirt With Leggings,
A1BG8QW55XHN6U,1304665720,5,Topwear,Tops,Black,1385596800,Gini and Jony Girls Black Top,
A22ZFXQE8AWPEP,130466578X,1,Shoes,Casual Shoes,White,1386028800,Nike Men Air Rift MTR White Casual Shoe,
A1Z03R982SX8V2,1403790965,4,Shoes,Sports Shoes,White,1389916800,ADIDAS Men White Corona Sports Shoes,
A1ZY0K46FYOTB6,1403790965,5,Watches,Watches,Black,1357603200,Fastrack Unisex Black Dial Watch 9915PP13,
A3MAATZ091QZGE,1403790965,5,Shoes,Casual Shoes,Blue,1372550400,Vans Men Blue Era Scilla Plaid Shoes,
A35XCJ5P6ZKRE9,1403790965,5,Flip Flops,Flip Flops,Navy Blue,1340755200,Crocs Kids Navy Blue Clogs,
A2B3YKKXVN28TW,1403790965,5,Topwear,Tshirts,White,1385856000,Classic Polo Men Vulcan White Polo Tshirts,
A2RDR51FRB58LD,1403790965,5,Shoes,Sports Shoes,Grey,1328918400,Fila Men Destiny Grey Sports Shoes,
A2MSCG0YX85RL4,1403790965,5,Shoes,Sports Shoes,Blue,1375833600,ADIDAS Men Blue Chill Sports Shoes,
A2P8AUMTM6O605,1403790965,5,Topwear,Shirts,Yellow,1403913600,Turtle Check Men Yellow Shirt,
A3SN6TKIXQI7RP,1403790965,5,Wallets,Wallets,Black,1375488000,Arrow Men Black Wallet,
A1MLJHYS35C4X6,1403790965,5,Shoes,Heels,Grey,1373414400,Catwalk Women Gun Metal Grey Heels,
A2FTLN4PYZE7S6,1403790965,5,Wallets,Wallets,Beige,1403827200,United Colors of Benetton Women Solid Beige Wallets,
ATPHIBSTV1NY5,1412759676,5,Sandal,Sandals,Brown,1356739200,Lotto Men Ridge Brown Sandals,
A1QWS6V26JZ5OX,1412759676,5,Topwear,Shirts,White,1371340800,U.S. Polo Assn. Men White & Navy Blue Shirt,
A1VK4ALI1QOF5U,1412759676,4,Innerwear,Briefs,White,1356912000,Jockey ELANCE Men Bikini White Brief 1005,
A1GIXQUBPA0DPT,1412759676,5,Topwear,Blazers,Charcoal,1298246400,Scullers For Her Charcoal Blazer,
A22L53OZ7IDQX3,1412759676,5,Bottomwear,Jeans,Black,1310774400,Jealous 21 Women Black Jeans,
AAOU507M8SF9E,1412759676,5,Flip Flops,Flip Flops,Red,1320019200,iPanema Women Red Flip Flops,
A2DIOCFQZQFD9O,1451646526,4,Bags,Handbags,Blue,1331510400,Fabindia Women Blue Silk Sling Bag,
A17Z7DO3IFHZOE,1457982633,5,Shoes,Flats,Silver,1399593600,Carlton London Women Silver Wedge Sandal,
A120LZ9VNR3YI0,1572671203,3,Topwear,Kurtas,Green,1294617600,Sushilas Women Printed Green Kurta,
A39QH03VD9U048,1572671203,3,Jewellery,Ring,Silver,1373155200,Lucera Women Silver Ring,
A95YCV8FK2LCM,1572671203,4,Topwear,Tshirts,Blue,1295395200,Doodle Boy's Route 66 Biker Blue Teen Kidswear,
AP57TEKK91CIM,1572671203,5,Watches,Watches,White,1375833600,ADIDAS Unisex Three Small Dials White Watches,
A3OQ3FVYBU7SBD,1879187396,5,Eyewear,Sunglasses,Copper,1382400000,Ray-Ban Men Active Lifestyle Copper Sunglasses,
A2GDJP70RVLDKY,1906987238,5,Shoes,Sports Shoes,Black,1373068800,ADIDAS Kids Adispeed Black Sports Shoes,
A2BQ8DVGEGWAFY,1929099886,4,Topwear,Shirts,Green,1355011200,Scullers Men  Green Check Shirt,
A2A0EW34FZH9Z7,1987958179,5,Sandal,Sandals,White,1394755200,Puma Men Fashion Cat White Slipper,
A1D6UAVLQUS41B,3222000565,5,Watches,Watches,Black,1381449600,Fastrack Men Economy 2 Analg Black Watch,
A2VRUBSVHDDOU9,3222000565,5,Topwear,Sweatshirts,Blue,1382486400,United Colors of Benetton Men Solid Blue Sweatshirt,
A276N142RFK6EF,3222000565,5,Topwear,Tshirts,Black,1404345600,Puma Men's Large Logo Graphic Black T-shirt,
A2HNQ3JHXDSVMW,322700075X,3,Fragrance,Perfume and Body Mist,Gold,1361491200,Giorgio Armani Women Idole Perfume,
